CAS,Chemical Name,Smiles,Molecular Weight (g/mol),Averaged LC50 (mg/L),Averaged LC50 (mol/L),-LOG10(mol/L),contains_metal
67-64-1,Propan-2-one,CC(C)=O,58.080000000000005,2.455,4.22693E-05,4.373975111,FALSE
95-51-2,ortho-Chloroaniline,Nc1ccccc1Cl,127.574,32,0.000250835,3.600612194,FALSE
126-72-7,"2,3-Dibromo-1-propanol-1,1',1''-phosphate",BrCC(Br)CO[P](=O)(OCC(Br)CBr)OCC(Br)CBr,697.613,3.1,4.44372E-06,5.352252871,FALSE
96-45-7,2-Imidazolidinethione,S=C1NCCN1,102.162,6600,0.064603277,1.189745451,FALSE
103-69-5,N-Ethylaniline,CCNc1ccccc1,121.18299999999995,22,0.000181544,3.741019019,FALSE
97-77-8,"N,N,N',N'-Tetraethylthioperoxydicarbonic diamide ([(H2N)C(S)]2S2)",CCN(CC)C(=S)SSC(=S)N(CC)CC,296.5520000000001,1.8,6.06976E-06,5.216828352,FALSE
693-21-0,"2,2'-Oxybisethanol, Dinitrate",[O-][N+](=O)OCCOCCO[N+]([O-])=O,196.11499999999998,101.39999999999999,0.000517044,3.286472857,FALSE
20679-58-7,"2-Bromoacetic acid 1,1'-(2-butene-1,4-diyl) ester",BrCC(=O)OC\C=C/COC(=O)CBr,329.972,0.9099999999999999,2.75781E-06,5.559435697,FALSE
118-74-1,"1,2,3,4,5,6-Hexachlorobenzene",Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,284.784,0.01,3.51143E-08,7.454515586,FALSE
100-00-5,1-Chloro-4-nitrobenzene,[O-][N+](=O)c1ccc(Cl)cc1,157.55599999999998,4.9,3.11001E-05,4.507238866,FALSE
33813-20-6,"5,6-Dihydro-3H-imidazo[2,1-c]-1,2,4-dithiazole-3-thione",S=C1SSC2=NCCN12,176.291,0.18,1.02104E-06,5.990957636,FALSE
95-76-1,"3,4-Dichlorobenzenamine",Nc1ccc(Cl)c(Cl)c1,162.019,4.2,2.59229E-05,4.586316657,FALSE
64-17-5,Ethanol,CCO,46.069,1.1099999999999999,2.40943E-05,4.618085807,FALSE
21087-64-9,"4-Amino-6-(1,1-dimethylethyl)-3-methylthio)-1,2,4-triazin-5(4H)-one",CSC1=NN=C(C(=O)N1N)C(C)(C)C,214.29399999999998,14785692.6,68.99723091,-1.838831661,FALSE
7782-49-2,Selenium,[Se],78.96,96.33333333333333,0.001220027,2.913630552,FALSE
95-82-9,"2,5-Dichloroaniline",Nc1cc(Cl)ccc1Cl,162.019,10,6.17212E-05,4.209565947,FALSE
10605-21-7,N-1H-Benzimidazol-2-yl carbamic acid methyl ester,COC(=O)Nc1[nH]c2ccccc2n1,191.19,0.34,1.77834E-06,5.749986256,FALSE
148-18-5,"N,N-diethylcarbamodithioic acid sodium salt (1:1)",[Na+].CCN(CC)C([S-])=S,171.266,1.4,8.17442E-06,5.087543119,FALSE
51276-47-2,2-Amino-4-(hydroxymethylphosphinyl)butanoic acid,[NH4+].C[P](O)(=O)CCC(N)C([O-])=O,198.159,615.83622,0.003107788,2.507548574,FALSE
98-82-8,Cumene,CC(C)c1ccccc1,120.19499999999995,2.6,2.16315E-05,4.664913054,FALSE
589-16-2,4-Ethylaniline,CCc1ccc(N)cc1,121.18299999999998,6.2,5.11623E-05,4.29105001,FALSE
106-49-0,4-Methylbenzenamine,Cc1ccc(N)cc1,107.156,0.203,1.89443E-06,5.722520456,FALSE
877-43-0,"2,6-Dimethylquinoline",Cc1ccc2nc(C)ccc2c1,157.216,18.493846153846153,0.000117633,3.929469502,FALSE
67-68-5,Sulfinyl bis(methane),C[S](C)=O,78.136,2.0324999999999998,2.60123E-05,4.58482062,FALSE
62-56-6,Thiourea,NC(N)=S,76.124,6.8,8.93279E-05,4.049012688,FALSE
7173-51-5,"N-Decyl-N,N-dimethyl-1-decanaminium chloride (1:1)",[Cl-].CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,362.08600000000024,0.1770625,4.89007E-07,6.310685141,FALSE
120-83-2,"2,4-Dichlorophenol",Oc1ccc(Cl)cc1Cl,163.003,11.6,7.11643E-05,4.147737608,FALSE
50-32-8,Benzo[a]pyrene,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,252.31599999999997,2.0050000000000003,7.94638E-06,5.099830414,FALSE
96-09-3,2-Phenyloxirane,C1OC1c2ccccc2,120.15099999999995,32,0.000266332,3.574577411,FALSE
28652-77-9,Trimethylnaphthalene,Cc1cc(C)c2c(C)cccc2c1,170.255,4,2.34942E-05,4.629039884,FALSE
90-12-0,1-Methylnaphthalene,Cc1cccc2ccccc12,142.201,12,8.43876E-05,4.073721404,FALSE
62-53-3,Benzenamine,Nc1ccccc1,93.12899999999999,47.125,0.000506019,3.295833576,FALSE
142-59-6,"N,N'-1,2-Ethanediylbiscarbamodithioic acid, Sodium salt (1:2)",[Na+].[Na+].[S-]C(=S)NCCNC([S-])=S,256.354,2.4,9.36205E-06,5.028628857,FALSE
1330-78-5,"Phosphoric acid, Tris(methylphenyl) ester",Cc1ccc(O[P](=O)(Oc2ccc(C)cc2)Oc3ccc(C)cc3)cc1,368.3690000000001,1.5999999999999999,4.34347E-06,5.362163092,FALSE
2539-17-5,"3,4,5,6-Tetrachloroguaiacol",COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,261.919,0.3928794,1.5E-06,5.823907746,FALSE
75-15-0,Carbon disulfide,S=C=S,76.14500000000001,21,0.00027579,3.559422096,FALSE
121-73-3,1-Chloro-3-nitrobenzene,[O-][N+](=O)c1cccc(Cl)c1,157.55599999999998,1.9,1.20592E-05,4.918681346,FALSE
15950-66-0,"2,3,4-Trichlorophenol",Oc1ccc(Cl)c(Cl)c1Cl,197.448,2,1.01292E-05,4.994422743,FALSE
88-30-2,4-Nitro-3-(trifluoromethyl)phenol,Oc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,207.10699999999997,7.24375,3.49759E-05,4.456231325,FALSE
100-41-4,Ethylbenzene,CCc1ccccc1,106.16799999999996,4.699999999999999,4.42695E-05,4.353895778,FALSE
2212-67-1,"Hexahydro-1H-azepine-1-carbothioic acid, S-Ethyl ester",CCSC(=O)N1CCCCCC1,187.30799999999994,4.36,2.32772E-05,4.633069837,FALSE
99-08-1,1-Methyl-3-nitrobenzene,Cc1cccc(c1)[N+]([O-])=O,137.138,14,0.000102087,3.991029776,FALSE
124-40-3,N-Methylmethanamine,CNC,45.085,18.1,0.000401464,3.396353499,FALSE
115-29-7,"6,7,8,9,10,10-Hexachloro-1,5,5a,6,9,9a-hexahydro-6,9-methano-2,4,3-benzodioxathiepin 3-oxide",ClC1=C(Cl)C2(Cl)C3CO[S](=O)OCC3C1(Cl)C2(Cl)Cl,406.9290000000001,21.825,5.36334E-05,4.270564389,FALSE
554-00-7,"2,4-Dichlorobenzenamine",Nc1ccc(Cl)cc1Cl,162.019,5.970714285714286,3.68519E-05,4.433539658,FALSE
62-75-9,N-Methyl-N-nitrosomethanamine,CN(C)N=O,74.083,4.55,6.14176E-05,4.211707164,FALSE
79-01-6,"1,1,2-Trichloroethene",ClC=C(Cl)Cl,131.389,450,0.003424944,2.465346493,FALSE
87-86-5,"2,3,4,5,6-Pentachlorophenol",Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,266.33799999999997,2.81875,1.05834E-05,4.975376575,FALSE
137-88-2,1-[(4-Amino-2-propyl-5-pyrimidinyl)methyl]-2-methylpyridinium chloride hydrochloride (1:1:1),[H+].[Cl-].[Cl-].CCCc1ncc(C[n+]2ccccc2C)c(N)n1,315.2480000000001,160,0.000507537,3.294532357,FALSE
3428-24-8,"4,5-Dichlorocatechol",Oc1cc(Cl)c(Cl)cc1O,179.002,0.4475065,2.50001E-06,5.602058536,FALSE
