CAS,Chemical Name,Smiles,Molecular Weight (g/mol),Averaged LD50 (g/kg),Averaged LD50 (mol/kg),-log10(mol/kg)
6416688,"5-(2H-Naphtho[1,2-d]triazol-2-yl)-2-(2-phenylethenyl)benzensulfonic acid sodium salt",[Na+].[O-][S](=O)(=O)c1cc(ccc1\C=C\c2ccccc2)n3nc4ccc5ccccc5c4n3,449.46700000000016,5.0,0.0111242872112969,1.953727806874476
314409,"5-Bromo-6-methyl-3-(1-methylpropyl)-2,4(1H,3H)-pyrimidinedione",CCC(C)N1C(=O)NC(=C(Br)C1=O)C,261.11899999999997,5.2,0.0199142919511793,1.70083513023694
1996414,2-Chloro-4-fluorophenol,Oc1ccc(F)cc1Cl,146.548,1.0,0.006823702814095,2.165979895821941
28548085,"(1a alpha, 2 beta, 2a beta, 3 alpha, 6 alpha, 6a beta, 7 beta, 7a alpha)-3,4,5,6,9,9-Hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-2,7:3,6-dimethanonaphth[2,3-b]oxiren-8-one",ClC1=C(Cl)C2(Cl)C3C4C5OC5C(C3C1(Cl)C2(Cl)Cl)C4=O,394.8960000000002,0.0011849999999999,3.0007900814391625e-06,5.573276140846929
10361372,Barium chloride,[Cl-].[Cl-].[Ba++],208.234,0.40675,0.0019533313483869,2.7163102803559083
138261413,(2E)-1-[(6-Chloro-3-pyridinyl)methyl]-N-nitro-2-imidazolidinimine,[O-][N+](=O)NC1=NCCN1Cc2ccc(Cl)nc2,255.665,0.451,0.0017640271448966,2.753494736217737
300765,"Phosphoric acid 1,2-dibromo-2,2-dichloroethyl dimethyl ester",CO[P](=O)(OC)OC(Br)C(Cl)(Cl)Br,380.784,0.0975,0.000256050674398,3.7065846781586647
58366,"10,10'-Oxybis-10H-phenoxarsine",O([As]1c2ccccc2Oc3ccccc13)[As]4c5ccccc5Oc6ccccc46,502.2330000000002,0.04,7.964430851815788e-05,4.09884525398054
94757,"2-(2,4-Dichlorophenoxy)acetic acid",OC(=O)COc1ccc(Cl)cc1Cl,221.039,0.6443333333333333,0.0029150210294714,2.537043386406559
393522,2-Fluorobenzoyl chloride,Fc1ccccc1C(Cl)=O,158.559,2.6,0.0163976816200909,1.7852175501703105
2104963,"Phosphorothioic acid O-(4-bromo-2,5-dichlorophenyl) O,O-dimethyl ester",CO[P](=S)(OC)Oc1cc(Cl)c(Br)cc1Cl,366.0,0.0895,0.0002445355191256,3.620122948336172
23192429,(7Z)-7-Hexadecen-1-ol acetate,CCCCCCCC\C=C/CCCCCCOC(C)=O,282.46799999999996,34.6,0.1224917512780209,0.9118931561570486
93765,"2-(2,4,5-Trichlorophenoxy)acetic acid",OC(=O)COc1cc(Cl)c(Cl)cc1Cl,255.484,0.475,0.001859216232719,2.7306700974709464
94746,2-(4-Chloro-2-methylphenoxy)acetic acid,Cc1cc(Cl)ccc1OCC(O)=O,200.621,0.95,0.0047352969031158,2.324652785542988
82558507,"N-[3-(1-Ethyl-1-methylpropyl)-5-isoxazolyl]-2,6-dimethyoxybenzamide",CCC(C)(CC)c1cc(NC(=O)c2c(OC)cccc2OC)on1,332.40000000000003,10.0,0.0300842358604091,1.5216610151120733
404864,(6E)-N-[(4-Hydroxy-3-methoxyphenyl)methyl]-8-methyl-6-nonenamide,COc1cc(CNC(=O)CCCC\C=C\C(C)C)ccc1O,305.418,0.1546499999999999,0.0005063552246429,3.2959345808952394
55914,Phosphorofluoridic acid bis(1-methylethyl)ester,CC(C)O[P](F)(=O)OC(C)C,184.147,0.0033,1.792046571489082e-05,4.746650708134882
115297,"6,7,8,9,10,10-Hexachloro-1,5,5a,6,9,9a-hexahydro-6,9-methano-2,4,3-benzodioxathiepin 3-oxide",ClC1=C(Cl)C2(Cl)C3CO[S](=O)OCC3C1(Cl)C2(Cl)Cl,406.9290000000001,0.0517,0.0001270491903993,3.946597905593662
1910425,"1,1'-Dimethyl-4,4'-bipyridinium chloride (1:2)",[Cl-].[Cl-].C[n+]1ccc(cc1)c2cc[n+](C)cc2,257.164,0.088686,0.0003448616447092,3.5345810678208607
82688,"1,2,3,4,5-Pentachloro-6-nitrobenzene",[O-][N+](=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,295.336,2.14,0.0072459842349053,2.139902615195364
