CAS,Chemical Name,Smiles,Molecular Weight (g/mol),Averaged LC50 (ug/org),Averaged LC50 (mol/org),-log10(mol/org),contains_metal
272451-65-7,"N2-[1,1-Dimethyl-2-(methylsulfonyl)ethyl]-3-iodo-N1-[2-methyl-4-[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]phenyl]-1,2-benzenedicarboxamide",Cc1cc(ccc1NC(=O)c2cccc(I)c2C(=O)NC(C)(C)C[S](C)(=O)=O)C(F)(C(F)(F)F)C(F)(F)F,682.3960000000004,217558.0433333333,0.0003188149451833,-2.5035386717533212,False
93-65-2,2-(4-Chloro-2-methylphenoxy)propanoic acid,CC(Oc1ccc(Cl)cc1C)C(O)=O,214.64799999999997,89.82199999999999,4.184618538257985e-07,0.3783441253123734,False
2104-64-5,P-Phenylphosphonothioic acid O-ethyl O-(4-nitrophenyl) ester ,CCO[P](=S)(Oc1ccc(cc1)[N+]([O-])=O)c2ccccc2,323.31000000000006,0.245,7.577866443970181e-10,3.1204530532122403,False
57-74-9,"1,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene",ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,409.7819999999999,4.6425,1.1329194547344687e-08,1.9458009653420787,False
91465-08-6,"3-[(1Z)-2-Chloro-3,3,3-trifluoro-1-propen-1-yl]-2,2-dimethylcyclopropanecarboxylic acid (1S,3S)-rel-(R)-cyano(3-phenoxyphenyl)methyl ester",CC1(C)[C@@H](\C=C(/Cl)C(F)(F)F)[C@H]1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,449.8560000000001,0.4144285714285714,9.212471800499967e-10,3.0356238285121053,False
759-94-4,"N,N-dipropylcarbamothioic acid S-ethyl ester",CCCN(CCC)C(=O)SCC,189.324,31.863333333333333,1.68300550027114e-07,0.7739144646935155,False
298-02-2,"O,O-Diethyl S-[(ethylthio)methyl])ester, Phosphorodithioic acid",CCO[P](=S)(OCC)SCSCC,260.38599999999997,3.61,1.3864032628482333e-08,1.8581104281971144,False
178928-70-6,"2-[2-(1-Chlorocyclopropyl)-3-(2-chlorophenyl)-2-hydroxypropyl]-1,2-dihydro-3H-1,2,4-triazole-3-thione",OC(CN1NC=NC1=S)(Cc2ccccc2Cl)C3(Cl)CC3,344.26700000000017,175.75,5.105049278612237e-07,0.2920000613486523,False
300-76-5,"Phosphoric acid 1,2-dibromo-2,2-dichloroethyl dimethyl ester",CO[P](=O)(OC)OC(Br)C(Cl)(Cl)Br,380.784,0.2918,7.663137106601117e-10,3.115593404104332,False
1757-18-2,Akton,CCO[P](=S)(OCC)OC(=C/Cl)/c1cc(Cl)ccc1Cl,375.6410000000001,2.66,7.081229152302331e-09,2.1498913513878866,False
